Model,Model Family,Model Size (B),Pretraining Data Size (T),FLOPs (1E21),MMLU,ARC-C,HellaSwag,Winograd,TruthfulQA,GSM8K,XWinograd,HumanEval,Company,Release Date,MMLU-ours,platform,Unnamed: 17,Unnamed: 18,Unnamed: 19,0_5007_brier,0_5007_san,5007_10015_brier,5007_10015_san,10015_15023_brier,10015_15023_san,acc,brier,san
facebook/opt-350m,OPT,0.35,0.18,0.378,0.260230967,0.235494881,0.367257518,0.52644041,0.408285328,0.0030326,0.51811094,0.0,meta,202205.0,0.2612875659,bdsrc,,,,0.24600927952831494,0.20183672742018846,0.6139430025420598,0.2588880398969007,0.8778169562150016,0.2219024443736175,0.34260800106503364,0.5792785952242343,0.2275441149849994
facebook/opt-13b,OPT,13.0,0.18,14.04,0.248956622,0.399317406,0.71200956,0.685082873,0.340958399,0.017437453,0.608779356,0.006097561,meta,202205.0,0.2527417747,bdsrc,,,,0.13612205304799563,0.6864642927045184,0.601025914484821,0.5882381858693718,0.9047559455228192,0.6313820084761997,0.38694002529454835,0.5473286743346558,0.6353580940460722
facebook/opt-2.7b,OPT,2.7,0.18,2.916,0.254319729,0.339590444,0.614319857,0.619573796,0.37425418,0.00227445,0.568486894,0.0,meta,202205.0,0.2543085031,bdsrc,,,,0.2827354719370621,0.5692350635558097,0.7634922957496851,0.5665606322579804,0.9172401808666956,0.5780898725443547,0.2718498302602676,0.6545140618307678,0.5712953265841706
facebook/opt-30b,OPT,30.0,0.18,32.4,0.2665873,0.432593857,0.740689106,0.706393054,0.351638263,0.021986353,0.626407888,0.012195122,meta,202205.0,0.2675544794,bdsrc,,,,0.29442393223624713,0.7223001343214662,0.6313953416552598,0.6504851633006424,0.8809608652931032,0.6878503652617766,0.2983425414364641,0.6022805373829665,0.686876196471291
facebook/opt-125m,OPT,0.125,0.18,0.135,0.260155876,0.228668942,0.314678351,0.516179953,0.42868758,0.00075815,0.498684238,0.0,meta,202205.0,0.2607178465,bdsrc,,,,0.6941331774197598,0.03552626951366837,0.7257881483914049,0.06087802200617365,0.7797263270110689,0.048043326824692846,0.16035412367702856,0.7332184857988638,0.04815004635558254
facebook/opt-66b,OPT,66.0,0.18,71.28,0.269930021,0.46331058,0.76249751,0.700078927,0.35429656,0.016679303,0.642631463,0.012195122,meta,202205.0,,,,,,,,,,,,,,
mosaicml/mpt-30b,MPT,30.0,1.0,180.0,0.479981807,0.559726962,0.8242382,0.749013418,0.384155825,0.169067475,0.745335406,0.213414634,mosaicml,202306.0,0.4727246831,bdsrc,,,,0.21616058929400941,0.9159732378691762,0.3458510729863944,0.8993649218069526,0.4756883518757941,0.8883205132456489,0.6264394594954403,0.34590864077114686,0.9012185755677559
mosaicml/mpt-7b,MPT,7.0,1.0,42.0,0.280684314,0.476962457,0.775343557,0.721389108,0.335450604,0.040181956,0.714400118,0.164634146,mosaicml,202305.0,,bdsrc,,,,0.28369848916880014,0.8857538709631784,0.5883802101540326,0.8499709115249853,0.767788624896221,0.8670146172715975,0.36078013712307794,0.5466399428343092,0.8675785901701293
facebook/xglm-564M,XGLM,0.564,0.5,1.692,0.251796636,0.245733788,0.346444931,0.522494081,0.404320588,0.00227445,0.585509055,0.0,meta,202112.0,0.2503916821,rllab,,,,0.45032970403534145,0.06393575769492739,0.6800645872412056,0.09272291419763137,0.8392211076057251,0.07981098391639543,0.25387738800505893,0.6565521924980605,0.0788242095808791
facebook/xglm-1.7B,XGLM,1.7,0.5,5.1,0.251004165,0.258532423,0.456781518,0.539068666,0.372063415,0.007581501,0.630680872,0.0,meta,202112.0,0.2506053269,rllab,,,,0.25428478746749084,0.21978799742630553,0.6333041773181036,0.26065675576824826,0.8646820421797873,0.22928008588571033,0.3368168807827997,0.584112289029835,0.23657606377664459
facebook/xglm-4.5B,XGLM,4.5,0.5,13.5,0.254299777,0.314846416,0.579466242,0.549329124,0.358393949,0.00227445,0.658513957,0.0,meta,202112.0,0.254379718,rllab,,,,0.4329938880239764,0.2606038980309581,0.6903325433211713,0.29500410368302266,0.8510961932949968,0.2801780055952232,0.2476868801171537,0.658155861699383,0.27859653336260726
facebook/xglm-7.5B,XGLM,7.5,0.5,22.5,0.277886681,0.341296928,0.607747461,0.587213891,0.366615239,0.00227445,0.695550561,0.0,meta,202112.0,0.273821393,rllab,,,,0.16144490779522933,0.45790465808573516,0.6360512725108628,0.43145392155050744,0.9169968999349105,0.45717485007326714,0.36117952472874926,0.5715249884137061,0.4488438734824703
codellama/CodeLlama-7b-hf,CodeLlama,7.0,2.52,105.84,0.311220648,0.399317406,0.608046206,0.640094712,0.378216756,0.051554208,0.72972396,0.335365854,meta,202308.0,,,,,,,,,,,,,,
codellama/CodeLlama-13b-hf,CodeLlama,13.0,2.52,196.56,0.328088358,0.408703072,0.633539136,0.671665351,0.437942698,0.121304018,0.734948573,0.384146341,meta,202308.0,,,,,,,,,,,,,,
codellama/CodeLlama-34b-hf,CodeLlama,34.0,2.52,514.08,0.550208399,0.540955631,0.758215495,0.735595896,0.391136184,0.343442002,0.786124588,0.475609756,meta,202308.0,,,,,,,,,,,,,,
codellama/CodeLlama-70b-hf,CodeLlama,70.0,3.02,1268.4,0.596665899,0.567406143,0.782115117,0.752170481,0.397884774,0.439727066,0.775638856,0.548780488,meta,202401.0,,,,,,,,,,,,,,
